python src/08-jacobi_iter.py
Iteration 1: x = ['0.000000', '0.000000']
Iteration 2: x = ['1.500000', '0.666667']
Iteration 3: x = ['1.166667', '1.166667']
Iteration 4: x = ['0.916667', '1.055556']
Iteration 5: x = ['0.972222', '0.972222']
Iteration 6: x = ['1.013889', '0.990741']
Iteration 7: x = ['1.004630', '1.004630']
Iteration 8: x = ['0.997685', '1.001543']
Iteration 9: x = ['0.999228', '0.999228']
Iteration 10: x = ['1.000386', '0.999743']
Iteration 11: x = ['1.000129', '1.000129']
Iteration 12: x = ['0.999936', '1.000043']
Iteration 13: x = ['0.999979', '0.999979']
Iteration 14: x = ['1.000011', '0.999993']
Iteration 15: x = ['1.000004', '1.000004']
Iteration 16: x = ['0.999998', '1.000001']
Iteration 17: x = ['0.999999', '0.999999']
Iteration 18: x = ['1.000000', '1.000000']
Iteration 19: x = ['1.000000', '1.000000']
Iteration 20: x = ['1.000000', '1.000000']
Iteration 21: x = ['1.000000', '1.000000']
Iteration 22: x = ['1.000000', '1.000000']
Iteration 23: x = ['1.000000', '1.000000']
Iteration 24: x = ['1.000000', '1.000000']
Iteration 25: x = ['1.000000', '1.000000']
Iteration 26: x = ['1.000000', '1.000000']
Iteration 27: x = ['1.000000', '1.000000']
Iteration 28: x = ['1.000000', '1.000000']
Converged!

Solution: ['1.00', '1.00']
==============================

Iteration 1: x = ['0.000000', '0.000000', '0.000000', '0.000000', '0.000000']
Iteration 2: x = ['0.500000', '0.000000', '0.000000', '0.000000', '0.500000']
Iteration 3: x = ['0.500000', '0.250000', '0.000000', '0.250000', '0.500000']
Iteration 4: x = ['0.625000', '0.250000', '0.250000', '0.250000', '0.625000']
Iteration 5: x = ['0.625000', '0.437500', '0.250000', '0.437500', '0.625000']
Iteration 6: x = ['0.718750', '0.437500', '0.437500', '0.437500', '0.718750']
Iteration 7: x = ['0.718750', '0.578125', '0.437500', '0.578125', '0.718750']
Iteration 8: x = ['0.789062', '0.578125', '0.578125', '0.578125', '0.789062']
Iteration 9: x = ['0.789062', '0.683594', '0.578125', '0.683594', '0.789062']
Iteration 10: x = ['0.841797', '0.683594', '0.683594', '0.683594', '0.841797']
Iteration 11: x = ['0.841797', '0.762695', '0.683594', '0.762695', '0.841797']
Iteration 12: x = ['0.881348', '0.762695', '0.762695', '0.762695', '0.881348']
Iteration 13: x = ['0.881348', '0.822021', '0.762695', '0.822021', '0.881348']
Iteration 14: x = ['0.911011', '0.822021', '0.822021', '0.822021', '0.911011']
Iteration 15: x = ['0.911011', '0.866516', '0.822021', '0.866516', '0.911011']
Iteration 16: x = ['0.933258', '0.866516', '0.866516', '0.866516', '0.933258']
Iteration 17: x = ['0.933258', '0.899887', '0.866516', '0.899887', '0.933258']
Iteration 18: x = ['0.949944', '0.899887', '0.899887', '0.899887', '0.949944']
Iteration 19: x = ['0.949944', '0.924915', '0.899887', '0.924915', '0.949944']
Iteration 20: x = ['0.962458', '0.924915', '0.924915', '0.924915', '0.962458']
Iteration 21: x = ['0.962458', '0.943686', '0.924915', '0.943686', '0.962458']
Iteration 22: x = ['0.971843', '0.943686', '0.943686', '0.943686', '0.971843']
Iteration 23: x = ['0.971843', '0.957765', '0.943686', '0.957765', '0.971843']
Iteration 24: x = ['0.978882', '0.957765', '0.957765', '0.957765', '0.978882']
Iteration 25: x = ['0.978882', '0.968324', '0.957765', '0.968324', '0.978882']
Iteration 26: x = ['0.984162', '0.968324', '0.968324', '0.968324', '0.984162']
Iteration 27: x = ['0.984162', '0.976243', '0.968324', '0.976243', '0.984162']
Iteration 28: x = ['0.988121', '0.976243', '0.976243', '0.976243', '0.988121']
Iteration 29: x = ['0.988121', '0.982182', '0.976243', '0.982182', '0.988121']
Iteration 30: x = ['0.991091', '0.982182', '0.982182', '0.982182', '0.991091']
Iteration 31: x = ['0.991091', '0.986637', '0.982182', '0.986637', '0.991091']
Iteration 32: x = ['0.993318', '0.986637', '0.986637', '0.986637', '0.993318']
Iteration 33: x = ['0.993318', '0.989977', '0.986637', '0.989977', '0.993318']
Iteration 34: x = ['0.994989', '0.989977', '0.989977', '0.989977', '0.994989']
Iteration 35: x = ['0.994989', '0.992483', '0.989977', '0.992483', '0.994989']
Iteration 36: x = ['0.996242', '0.992483', '0.992483', '0.992483', '0.996242']
Iteration 37: x = ['0.996242', '0.994362', '0.992483', '0.994362', '0.996242']
Iteration 38: x = ['0.997181', '0.994362', '0.994362', '0.994362', '0.997181']
Iteration 39: x = ['0.997181', '0.995772', '0.994362', '0.995772', '0.997181']
Iteration 40: x = ['0.997886', '0.995772', '0.995772', '0.995772', '0.997886']
Iteration 41: x = ['0.997886', '0.996829', '0.995772', '0.996829', '0.997886']
Iteration 42: x = ['0.998414', '0.996829', '0.996829', '0.996829', '0.998414']
Iteration 43: x = ['0.998414', '0.997622', '0.996829', '0.997622', '0.998414']
Iteration 44: x = ['0.998811', '0.997622', '0.997622', '0.997622', '0.998811']
Iteration 45: x = ['0.998811', '0.998216', '0.997622', '0.998216', '0.998811']
Iteration 46: x = ['0.999108', '0.998216', '0.998216', '0.998216', '0.999108']
Iteration 47: x = ['0.999108', '0.998662', '0.998216', '0.998662', '0.999108']
Iteration 48: x = ['0.999331', '0.998662', '0.998662', '0.998662', '0.999331']
Iteration 49: x = ['0.999331', '0.998997', '0.998662', '0.998997', '0.999331']
Iteration 50: x = ['0.999498', '0.998997', '0.998997', '0.998997', '0.999498']
Iteration 51: x = ['0.999498', '0.999247', '0.998997', '0.999247', '0.999498']
Iteration 52: x = ['0.999624', '0.999247', '0.999247', '0.999247', '0.999624']
Iteration 53: x = ['0.999624', '0.999436', '0.999247', '0.999436', '0.999624']
Iteration 54: x = ['0.999718', '0.999436', '0.999436', '0.999436', '0.999718']
Iteration 55: x = ['0.999718', '0.999577', '0.999436', '0.999577', '0.999718']
Iteration 56: x = ['0.999788', '0.999577', '0.999577', '0.999577', '0.999788']
Iteration 57: x = ['0.999788', '0.999683', '0.999577', '0.999683', '0.999788']
Iteration 58: x = ['0.999841', '0.999683', '0.999683', '0.999683', '0.999841']
Iteration 59: x = ['0.999841', '0.999762', '0.999683', '0.999762', '0.999841']
Iteration 60: x = ['0.999881', '0.999762', '0.999762', '0.999762', '0.999881']
Iteration 61: x = ['0.999881', '0.999821', '0.999762', '0.999821', '0.999881']
Iteration 62: x = ['0.999911', '0.999821', '0.999821', '0.999821', '0.999911']
Iteration 63: x = ['0.999911', '0.999866', '0.999821', '0.999866', '0.999911']
Iteration 64: x = ['0.999933', '0.999866', '0.999866', '0.999866', '0.999933']
Iteration 65: x = ['0.999933', '0.999900', '0.999866', '0.999900', '0.999933']
Iteration 66: x = ['0.999950', '0.999900', '0.999900', '0.999900', '0.999950']
Iteration 67: x = ['0.999950', '0.999925', '0.999900', '0.999925', '0.999950']
Iteration 68: x = ['0.999962', '0.999925', '0.999925', '0.999925', '0.999962']
Iteration 69: x = ['0.999962', '0.999943', '0.999925', '0.999943', '0.999962']
Iteration 70: x = ['0.999972', '0.999943', '0.999943', '0.999943', '0.999972']
Iteration 71: x = ['0.999972', '0.999958', '0.999943', '0.999958', '0.999972']
Iteration 72: x = ['0.999979', '0.999958', '0.999958', '0.999958', '0.999979']
Iteration 73: x = ['0.999979', '0.999968', '0.999958', '0.999968', '0.999979']
Iteration 74: x = ['0.999984', '0.999968', '0.999968', '0.999968', '0.999984']
Iteration 75: x = ['0.999984', '0.999976', '0.999968', '0.999976', '0.999984']
Iteration 76: x = ['0.999988', '0.999976', '0.999976', '0.999976', '0.999988']
Iteration 77: x = ['0.999988', '0.999982', '0.999976', '0.999982', '0.999988']
Iteration 78: x = ['0.999991', '0.999982', '0.999982', '0.999982', '0.999991']
Iteration 79: x = ['0.999991', '0.999987', '0.999982', '0.999987', '0.999991']
Iteration 80: x = ['0.999993', '0.999987', '0.999987', '0.999987', '0.999993']
Iteration 81: x = ['0.999993', '0.999990', '0.999987', '0.999990', '0.999993']
Iteration 82: x = ['0.999995', '0.999990', '0.999990', '0.999990', '0.999995']
Iteration 83: x = ['0.999995', '0.999992', '0.999990', '0.999992', '0.999995']
Iteration 84: x = ['0.999996', '0.999992', '0.999992', '0.999992', '0.999996']
Iteration 85: x = ['0.999996', '0.999994', '0.999992', '0.999994', '0.999996']
Iteration 86: x = ['0.999997', '0.999994', '0.999994', '0.999994', '0.999997']
Iteration 87: x = ['0.999997', '0.999996', '0.999994', '0.999996', '0.999997']
Iteration 88: x = ['0.999998', '0.999996', '0.999996', '0.999996', '0.999998']
Iteration 89: x = ['0.999998', '0.999997', '0.999996', '0.999997', '0.999998']
Iteration 90: x = ['0.999998', '0.999997', '0.999997', '0.999997', '0.999998']
Iteration 91: x = ['0.999998', '0.999998', '0.999997', '0.999998', '0.999998']
Iteration 92: x = ['0.999999', '0.999998', '0.999998', '0.999998', '0.999999']
Iteration 93: x = ['0.999999', '0.999998', '0.999998', '0.999998', '0.999999']
Iteration 94: x = ['0.999999', '0.999998', '0.999998', '0.999998', '0.999999']
Iteration 95: x = ['0.999999', '0.999999', '0.999998', '0.999999', '0.999999']
Iteration 96: x = ['0.999999', '0.999999', '0.999999', '0.999999', '0.999999']
Iteration 97: x = ['0.999999', '0.999999', '0.999999', '0.999999', '0.999999']
Iteration 98: x = ['0.999999', '0.999999', '0.999999', '0.999999', '0.999999']
Iteration 99: x = ['0.999999', '0.999999', '0.999999', '0.999999', '0.999999']
Iteration 100: x = ['1.000000', '0.999999', '0.999999', '0.999999', '1.000000']

Solution: ['1.00', '1.00', '1.00', '1.00', '1.00']
==============================
